id	name	formula	rt	pubchem.smiles.isomeric	status
0110_00002	1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE	C10H13NO2	8.53		FAILED_STANDARDIZATION
0110_00004	1-METHYLNICOTINAMIDE	C7H8N2O	7.6		FAILED_STANDARDIZATION
0110_00005	1-NAPHTHYLAMINE	C10H9N	2.17		FAILED_STANDARDIZATION
0110_00007	3-METHOXYTYRAMINE	C9H13NO2	5.12		FAILED_STANDARDIZATION
0110_00008	3-METHYLADENINE	C6H7N5	2.75		FAILED_STANDARDIZATION
0110_00009	3-METHYLHISTAMINE	C6H11N3	12.98		FAILED_STANDARDIZATION
0110_00010	4-GUANIDINOBUTANOATE	C5H11N3O2	11.77		FAILED_STANDARDIZATION
0110_00011	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID	C10H7NO3	9.25		FAILED_STANDARDIZATION
0110_00012	5-METHYLCYTOSINE	C5H7N3O	6.03		FAILED_STANDARDIZATION
0110_00014	ADENINE	C5H5N5	3.09		FAILED_STANDARDIZATION
0110_00015	AGMATINE	C5H14N4	13.57		FAILED_STANDARDIZATION
0110_00018	BIS(3-AMINOPROPYL)AMINE	C6H17N3	17.22		FAILED_STANDARDIZATION
0110_00020	CHOLINE	C5H14NO	4.19		FAILED_STANDARDIZATION
0110_00021	CREATININE	C4H7N3O	3.31		FAILED_STANDARDIZATION
0110_00024	CYTOSINE	C4H5N3O	6.92		FAILED_STANDARDIZATION
0110_00026	DETHIOBIOTIN	C10H18N2O3	1.81		FAILED_STANDARDIZATION
0110_00027	DIETHANOLAMINE	C4H11NO2	10.25		FAILED_STANDARDIZATION
0110_00028	DIMETHYLBENZIMIDAZOLE	C9H10N2	0.7		FAILED_STANDARDIZATION
0110_00031	GUANINE	C5H5N5O	9.64		FAILED_STANDARDIZATION
0110_00033	HISTAMINE	CH5H9N3	12.39		FAILED_STANDARDIZATION
0110_00034	HYPOXANTHINE	C5H4N4O	4.42		FAILED_STANDARDIZATION
0110_00045	LUMICHROME	C12H10N4O2	1.19		FAILED_STANDARDIZATION
0110_00046	MELATONIN	C13H16N2O2	0.68		FAILED_STANDARDIZATION
0110_00047	METHYLGUANIDINE	C2H7N3	5.49		FAILED_STANDARDIZATION
0110_00049	N1-ACETYLSPERMINE	C12H28N4O	16.38		FAILED_STANDARDIZATION
0110_00050	N6-(DELTA2-ISOPENTENYL)-ADENINE	C10H13N5	0.72		FAILED_STANDARDIZATION
0110_00052	N-ACETYLPUTRESCINE	C6H14N2O	10.45		FAILED_STANDARDIZATION
0110_00053	N-ACETYLSEROTONIN	C12H14N2O2	1.05		FAILED_STANDARDIZATION
0110_00057	NICOTINAMIDE	C6H6N2O	1.12		FAILED_STANDARDIZATION
0110_00058	N-METHYLTRYPTAMINE	C11H14N2	2.19		FAILED_STANDARDIZATION
0110_00061	PHOSPHOCHOLINE	C5H14NO4P	14.19		FAILED_STANDARDIZATION
0110_00062	PROTOPORPHYRIN	C34H34N4O4	1.14		FAILED_STANDARDIZATION
0110_00063	PYRIDOXAMINE	C8H12N2O2	12.23		FAILED_STANDARDIZATION
0110_00064	QUINOLINE	C9H7N	3.27		FAILED_STANDARDIZATION
0110_00065	RIBOFLAVIN	C17H20N4O6	9.25		FAILED_STANDARDIZATION
0110_00068	SEROTONIN	C10H12N2O	0.72		FAILED_STANDARDIZATION
0110_00071	SPERMIDINE	C7H19N3	16.98		FAILED_STANDARDIZATION
0110_00072	SPERMINE	C10H26N4	9.15		FAILED_STANDARDIZATION
0110_00075	THIAMINE	C12H17N4OS	10.04		FAILED_STANDARDIZATION
0110_00076	THIOPURINE S-METHYLETHER	C6H6N4S	0.72		FAILED_STANDARDIZATION
0110_00078	XANTHURENIC ACID	C10H7NO4	9.99		FAILED_STANDARDIZATION
