id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb	id.lipidmaps	id.kegg
0230_00001	(-)-alpha-Pinene		0.438	C10H16			InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3						
0230_00002	(-)-Citronellal		0.405	C10H18O			InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3						
0230_00003	(-)-Epicatechin		0.824	C15H14O6			InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2						
0230_00004	(+)-4-Cholesten-3-one		0.407	C27H44O			InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3						
0230_00005	(+)-Catechin		0.788	C15H14O6			InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2						
0230_00006	(+)-Nootkatone		0.417	C15H22O			InChI=1S/C15H22O/c1-10(2)12-5-6-13-8-14(16)7-11(3)15(13,4)9-12/h8,11-12H,1,5-7,9H2,2-4H3						
0230_00007	(+)-Pantothenic acid		2.166	C9H17NO5			InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)						
0230_00008	(+/-)-Propranolol		1.212	C16H21NO2			InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3						
0230_00009	(S)-(+)-4-Amino-3-hydroxybutyric acid		6.501	C4H9NO3			InChI=1S/C4H9NO3/c5-2-3(6)1-4(7)8/h3,6H,1-2,5H2,(H,7,8)						
0230_00010	(S)-Cotinine		0.622	C10H12N2O			InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3						
0230_00011	1,11-Undecanedicarboxylic acid		0.554	C13H24O4			InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)						
0230_00012	1,3,5-Trimethoxybenzene		0.423	C9H12O3			InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3						
0230_00013	1,7-dimethylxanthine		0.655	C7H8N4O2			InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)						
0230_00014	1-Aminoadamantane		2.361	C10H17N			InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2						
0230_00015	1-Aminocyclopropanecarboxylic acid		6.033	C4H7NO2			InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)						
0230_00016	1-Furfurylpyrrole		0.425	C9H9NO			InChI=1S/C9H9NO/c1-2-6-10(5-1)8-9-4-3-7-11-9/h1-7H,8H2						
0230_00017	1-Methylnicotinamide		4.681	C7H8N2O			InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)						
0230_00018	1-Methyluric acid		3.316	C6H6N4O3			InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)						
0230_00019	2',4'-Dihydroxyacetophenone		0.444	C8H8O3			InChI=1S/C8H8O3/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,9-10H,5H2						
0230_00020	2,5-Dimethyl-2,3-dihydrofuran-3-one		0.451	C6H8O2			InChI=1S/C6H8O2/c1-4-3-6(7)5(2)8-4/h3,5H,1-2H3						
0230_00021	2,6-Diaminopimelic Acid		8.064	C7H14N2O4			InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)						
0230_00022	2,6-Dimethoxybenzoic acid		0.628	C9H10O4			InChI=1S/C9H10O4/c1-12-6-4-3-5-7(13-2)8(6)9(10)11/h3-5H,1-2H3,(H,10,11)						
0230_00023	2-[(4-Hydroxyphenyl)formamido]acetic acid		3.64	C9H9NO4			InChI=1S/C9H9NO4/c11-7-3-1-6(2-4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)						
0230_00024	2-Acetylpyrazine		0.441	C6H6N2O			InChI=1S/C6H6N2O/c1-5(9)6-4-7-2-3-8-6/h2-4H,1H3						
