id	name	formula	rt	pubchem.smiles.canonical	InChI.std	InChIKey.std
0061_0001	1-Octanol, 8-chloro-	C8H17ClO	3.24	C(CCCCCl)CCCO	InChI=1S/C8H17ClO/c9-7-5-3-1-2-4-6-8-10/h10H,1-8H2	YDFAJMDFCCJZSI-UHFFFAOYSA-N
0061_0002	Phosphinic acid, P-ethyl-P-methyl-, 2-methylpropyl ester	C7H17O2P	3.24	CCP(=O)(C)OCC(C)C	InChI=1S/C7H17O2P/c1-5-10(4,8)9-6-7(2)3/h7H,5-6H2,1-4H3	LAUOWESHBLLZHR-UHFFFAOYSA-N
0061_0003	1-Octanol, 4-chloro-	C8H17ClO	3.24	CCCCC(CCCO)Cl	InChI=1S/C8H17ClO/c1-2-3-5-8(9)6-4-7-10/h8,10H,2-7H2,1H3	MMVJPTKAKBJYGU-UHFFFAOYSA-N
0061_0004	Diisopropyl methylphosphonite	C7H17O2P	3.24	CC(C)OP(C)OC(C)C	InChI=1S/C7H17O2P/c1-6(2)8-10(5)9-7(3)4/h6-7H,1-5H3	IIXDCLXRMJQEAM-UHFFFAOYSA-N
0061_0005	5-Amino-6-fluoronorleucine	C6H13FN2O2	3.24	C(CC(C(=O)O)N)C(CF)N	InChI=1S/C6H13FN2O2/c7-3-4(8)1-2-5(9)6(10)11/h4-5H,1-3,8-9H2,(H,10,11)	PRNUWRQQLDXHRZ-UHFFFAOYSA-N
0061_0006	2-(Fluoromethyl)ornithine	C6H13FN2O2	3.24	C(CC(CF)(C(=O)O)N)CN	InChI=1S/C6H13FN2O2/c7-4-6(9,5(10)11)2-1-3-8/h1-4,8-9H2,(H,10,11)	PYSFCFGTQFSVRE-UHFFFAOYSA-N
0061_0007	1-Octanol, 2-chloro-	C8H17ClO	3.24	CCCCCCC(CO)Cl	InChI=1S/C8H17ClO/c1-2-3-4-5-6-8(9)7-10/h8,10H,2-7H2,1H3	VWVAGHKETJVBII-UHFFFAOYSA-N
0061_0008	Hexanoic acid, 3,6-diamino-2-fluoro-	C6H13FN2O2	3.24	C(CC(C(C(=O)O)F)N)CN	InChI=1S/C6H13FN2O2/c7-5(6(10)11)4(9)2-1-3-8/h4-5H,1-3,8-9H2,(H,10,11)	VGYJSJHDXOCIDU-UHFFFAOYSA-N
0061_0009	n-butyl ethylmethylphosphinate	C7H17O2P	3.24	CCCCOP(=O)(C)CC	InChI=1S/C7H17O2P/c1-4-6-7-9-10(3,8)5-2/h4-7H2,1-3H3	AYYXSQKQZRTKPX-UHFFFAOYSA-N
0061_0010	3-Chloro-1-methoxyheptane	C8H17ClO	3.24	CCCCC(CCOC)Cl	InChI=1S/C8H17ClO/c1-3-4-5-8(9)6-7-10-2/h8H,3-7H2,1-2H3	UUCLPYJVAQFSGU-UHFFFAOYSA-N
0061_0011	1-(Chloromethoxy)heptane	C8H17ClO	3.24	CCCCCCCOCCl	InChI=1S/C8H17ClO/c1-2-3-4-5-6-7-10-8-9/h2-8H2,1H3	MPJFBKWQLMDKEA-UHFFFAOYSA-N
0061_0012	1-Butoxy-3-chlorobutane	C8H17ClO	3.24	CCCCOCCC(C)Cl	InChI=1S/C8H17ClO/c1-3-4-6-10-7-5-8(2)9/h8H,3-7H2,1-2H3	HBAKSTWZHDOWKD-UHFFFAOYSA-N
0061_0013	4-Chloro-1-methoxyheptane	C8H17ClO	3.24	CCCC(CCCOC)Cl	InChI=1S/C8H17ClO/c1-3-5-8(9)6-4-7-10-2/h8H,3-7H2,1-2H3	PJLPMHOZLRKOCE-UHFFFAOYSA-N
0061_0014	1-Chloro-5-methoxyheptane	C8H17ClO	3.24	CCC(CCCCCl)OC	InChI=1S/C8H17ClO/c1-3-8(10-2)6-4-5-7-9/h8H,3-7H2,1-2H3	DZOJCPMYHAEOGE-UHFFFAOYSA-N
0061_0015	Methyl dipropan-2-ylphosphinate	C7H17O2P	3.24	CC(C)P(=O)(C(C)C)OC	InChI=1S/C7H17O2P/c1-6(2)10(8,9-5)7(3)4/h6-7H,1-5H3	KFZZWGGIILOBLD-UHFFFAOYSA-N
0061_0016	1-Butoxy-1-chlorobutane	C8H17ClO	3.24	CCCCOC(CCC)Cl	InChI=1S/C8H17ClO/c1-3-5-7-10-8(9)6-4-2/h8H,3-7H2,1-2H3	CHFOWCDVIRGTNL-UHFFFAOYSA-N
0061_0017	(2R)-1-Chloro-6-methylheptan-2-ol	C8H17ClO	3.24	CC(C)CCCC(CCl)O	InChI=1S/C8H17ClO/c1-7(2)4-3-5-8(10)6-9/h7-8,10H,3-6H2,1-2H3	MTMYYODZWHQXCZ-UHFFFAOYSA-N
0061_0018	2-(3-Chloropropoxy)-2-methylbutane	C8H17ClO	3.24	CCC(C)(C)OCCCCl	InChI=1S/C8H17ClO/c1-4-8(2,3)10-7-5-6-9/h4-7H2,1-3H3	SVZJAZVDSAINFO-UHFFFAOYSA-N
0061_0019	4-Fluoro-L-lysine	C6H13FN2O2	3.24	C(CN)C(CC(C(=O)O)N)F	InChI=1S/C6H13FN2O2/c7-4(1-2-8)3-5(9)6(10)11/h4-5H,1-3,8-9H2,(H,10,11)	GVDNZQCSQRVPGZ-UHFFFAOYSA-N
0061_0020	5-Fluorolysine--hydrogen chloride (1/1)	C6H13FN2O2	3.24	C(CC(C(=O)O)N)C(CN)F	InChI=1S/C6H13FN2O2/c7-4(3-8)1-2-5(9)6(10)11/h4-5H,1-3,8-9H2,(H,10,11)	HILHCIBEZCWKBD-UHFFFAOYSA-N
0061_0021	3-Methylbutan-2-yl dimethylphosphinate	C7H17O2P	3.24	CC(C)C(C)OP(=O)(C)C	InChI=1S/C7H17O2P/c1-6(2)7(3)9-10(4,5)8/h6-7H,1-5H3	QSQINIVHHMCUEU-UHFFFAOYSA-N
0061_0022	2-Butoxy-1-chlorobutane	C8H17ClO	3.24	CCCCOC(CC)CCl	InChI=1S/C8H17ClO/c1-3-5-6-10-8(4-2)7-9/h8H,3-7H2,1-2H3	FQNXNTOGGLLUTQ-UHFFFAOYSA-N
0061_0023	Acetic acid--6-chloro-6-methylheptan-2-ol (1/1)	C8H17ClO	3.24	CC(CCCC(C)(C)Cl)O	InChI=1S/C8H17ClO/c1-7(10)5-4-6-8(2,3)9/h7,10H,4-6H2,1-3H3	CCDGOLMLPJPLIU-UHFFFAOYSA-N
0061_0024	Benzoic acid--1-chlorooctan-1-ol (1/1)	C8H17ClO	3.24	CCCCCCCC(O)Cl	InChI=1S/C8H17ClO/c1-2-3-4-5-6-7-8(9)10/h8,10H,2-7H2,1H3	HUBPTZAIVRQPLP-UHFFFAOYSA-N
