id	name	formula	rt	smiles.std	status	inchi.std	inchikey.std
0315_00049	3-Hydroxybutyrylcarnitine Chloride	C11H21NO5	0.652		missing SMILES		
0315_00064	Decanoyl-L-carnitine	C17H33NO4	4.092		missing SMILES		
0315_00078	Propionyl-L-carnitine	C10H19NO4	0.77		missing SMILES		
0315_00091	3-Methylglutarylcarnitine	C13H23NO6	2.317		missing SMILES		
0315_00095	Stearoyl-L-carnitine	C25H49NO4	5.762		missing SMILES		
0315_00100	2-Hydroxytetradecanoic acid	C14H28O3	6.174		missing SMILES		
0315_00135	2-Methyl-4-pentenoic acid	C6H10O2	2.791		missing SMILES		
0315_00140	3,3-Dimethylglutaric acid	C7H12O4	2.791		missing SMILES		
0315_00142	17-Octadecynoic acid	C18H32O2	6.674		missing SMILES		
0315_00148	10-Undecenoic acid	C11H20O2	4.184		missing SMILES		
0315_00189	Aleuritic acid	C16H32O5	3.669		missing SMILES		
0315_00195	INOSINE MONOPHOSPHATE	C10H13N4O8P	0.558		missing SMILES		
0315_00196	GUANOSINE	C10H13N5O5	0.72		missing SMILES		
0315_00197	THYMIDINE	C10H14N2O5	1.0		missing SMILES		
0315_00198	DEOXYADENOSINE MONOPHOSPHATE	C10H14N5O6P	0.58		missing SMILES		
0315_00199	TRYPTOPHAN	C11H12N2O2	1.961		missing SMILES		
0315_00201	METHYLTHIOADENOSINE	C11H15N5O3S	2.077		missing SMILES		
0315_00202	N-ACETYLNEURAMINATE	C11H19NO9	0.558		missing SMILES		
0315_00203	N-ACETYLTRYPTOPHAN	C13H14N2O3	3.06		missing SMILES		
0315_00204	FOLATE	C19H19N7O6	2.31		missing SMILES		
0315_00214	MALONATE	C3H4O4	0.558		missing SMILES		
0315_00226	URACIL	C4H4N2O2	0.58		missing SMILES		
0315_00241	THREONINE	C4H9NO3	0.535		missing SMILES		
0315_00242	HOMOSERINE	C4H9NO3	0.535		missing SMILES		
0315_00243	GLUTAMINE	C5H10N2O3	0.535		missing SMILES		
0315_00250	XANTHINE	C5H4N4O2	0.698		missing SMILES		
0315_00251	URATE	C5H4N4O3	0.58		missing SMILES		
0315_00255	DIHYDROOROTATE	C5H6N2O4	0.58		missing SMILES		
0315_00272	ISOCITRATE	C6H8O7	0.58		missing SMILES		
0315_00274	QUINATE	C7H12O6	0.558		missing SMILES		
0315_00275	PYRIDOXINE	C8H11NO3	0.698		missing SMILES		
0315_00279	PHENYLALANINE	C9H11NO2	1.141		missing SMILES		
0315_00282	URIDINE	C9H12N2O6	0.698		missing SMILES		
0315_00283	URIDINE MONOPHOSPHATE	C9H13N2O9P	0.558		missing SMILES		
0315_00285	DEOXYCYTIDINE MONOPHOSPHATE	C9H14N3O7P	0.558		missing SMILES		
0315_00286	CARNOSINE	C9H14N4O3	0.509		missing SMILES		
0315_00290	XANTHOSINE	C10H12N4O6	0.745		missing SMILES		
0315_00292	DEOXYGUANOSINE-MONOPHOSPHATE	C10H14N5O7P	0.559		missing SMILES		
0315_00293	ADENOSINE-MONOPHOSPHATE	C10H14N5O7P	0.559		missing SMILES		
0315_00297	TRYPTOPHAN	C11H12N2O2	1.964		missing SMILES		
0315_00300	TREHALOSE	C12H22O11	0.537		missing SMILES		
0315_00301	CITICOLINE	C14H26N4O11P2	0.537		missing SMILES		
0315_00304	DTDP-D-GLUCOSE	C16H26N2O16P2	0.559		missing SMILES		
0315_00320	CYSTEATE	C3H7NO5S	0.537		missing SMILES		
0315_00325	TARTRATE	C4H6O6	0.559		missing SMILES		
0315_00336	OXOPROLINE	C5H7NO3	0.582		missing SMILES		
0315_00343	GLUCURONATE	C6H10O7	0.537		missing SMILES		
0315_00344	GALACTARATE	C6H10O8	0.559		missing SMILES		
0315_00352	GLUCONATE	C6H12O7	0.537		missing SMILES		
0315_00356	GLUCOSE 6-PHOSPHATE	C6H13O9P	0.537		missing SMILES		
0315_00360	GALACTITOL	C6H14O6	0.537		missing SMILES		
0315_00371	THEOPHYLLINE	C7H8N4O2	1.986		missing SMILES		
0315_00372	PARAXANTHINE	C7H8N4O2	1.986		missing SMILES		
0315_00373	3-DEHYDROSHIKIMATE	C7H8O5	0.653		missing SMILES		
0315_00375	DOPAMINE	C8H11NO2	0.582		missing SMILES		
0315_00378	HOMOCYSTINE	C8H16N2O4S2	0.559		missing SMILES		
0315_00380	4-PYRIDOXATE	C8H9NO4	0.745		missing SMILES		
0315_00381	DEOXYURIDINE	C9H12N2O5	0.745		missing SMILES		
0315_00388	XANTHOSINE-MONOPHOSPHATE	C10H13N4O9P	0.558		missing SMILES		
0315_00403	URIDINE DIPHOSPHATE GLUCOSE	C15H24N2O17P2	0.558		missing SMILES		
0315_00405	URIDINE DIPHOSPHATEGALACTOSE	C15H24N2O17P2	0.558		missing SMILES		
0315_00406	ADP-GLUCOSE	C16H25N5O15P2	0.558		missing SMILES		
0315_00408	S-HEXYL-GLUTATHIONE	C16H29N3O6S	3.278		missing SMILES		
0315_00409	RIBOFLAVIN	C17H20N4O6	2.62		missing SMILES		
