id	name	formula	rt	smiles.std	status
0254_00001	UROCANATE	C6H6N2O2	0.573		'PUGREST.BadRequest: error: '
0254_00002	GLUCOSAMINE	C6H13NO5	0.586		'PUGREST.BadRequest: error: '
0254_00003	D-MANNOSAMINE	C6H13NO5	0.591		'PUGREST.BadRequest: error: '
0254_00004	N,N-DIMETHYL-ARGININE	C8H18N4O2	0.593		'PUGREST.BadRequest: error: '
0254_00005	PRENOL	C5H10O	0.6		'PUGREST.BadRequest: error: '
0254_00006	ISOPENTENYL PYROPHOSPHATE	C5H12O7P2	0.606		'PUGREST.BadRequest: error: '
0254_00007	GALACTITOL	C6H14O6	0.615		'PUGREST.BadRequest: error: '
0254_00008	MANNITOL	C6H14O6	0.624		'PUGREST.BadRequest: error: '
0254_00009	SORBITOL	C6H14O6	0.624		'PUGREST.BadRequest: error: '
0254_00010	DIHYDROURACIL	C4H6N2O2	0.628		'PUGREST.BadRequest: error: '
0254_00011	BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE	C21H27N7O14P2	0.628		'PUGREST.BadRequest: error: '
0254_00012	FRUCTOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00013	SORBOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00014	MYOINOSITOL	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00015	MANNOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00016	GALACTOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00017	ALPHA-D-GLUCOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00018	ALLOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00019	TAGATOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00020	PSICOSE	C6H12O6	0.637		'PUGREST.BadRequest: error: '
0254_00021	SUCROSE	C12H22O11	0.637		'PUGREST.BadRequest: error: '
0254_00022	N-ACETYLNEURAMINATE	C11H19NO9	0.64		'PUGREST.BadRequest: error: '
0254_00023	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P	0.64		'PUGREST.BadRequest: error: '
0254_00024	10-Undecenoic acid	C11H20O2	0.713		'PUGREST.BadRequest: error: '
