id	name	formula	rt	pubchem.smiles.isomeric	status
0163_00001	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P			FAILED_STANDARDIZATION
0163_00002	(RS)-MEVALONIC ACID	C6H12O4	8.65		FAILED_STANDARDIZATION
0163_00006	1,2-DIPALMITOYL-RAC-GLYCERO-3-PHOSPHOETHANOLAMINE	C37H74NO8P	8.95		FAILED_STANDARDIZATION
0163_00007	1,3-DIAMINOPROPANE	C3H10N2			FAILED_STANDARDIZATION
0163_00008	10-HYDROXYDECANOATE	C10H20O3			FAILED_STANDARDIZATION
0163_00009	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	C4H7NO2			FAILED_STANDARDIZATION
0163_00010	1-HYDROXY-2-NAPHTHOATE	C11H8O3	0.7		FAILED_STANDARDIZATION
0163_00011	1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE	C10H13NO2			FAILED_STANDARDIZATION
0163_00013	1-METHYLNICOTINAMIDE	C7H8N2O			FAILED_STANDARDIZATION
0163_00014	1-NAPHTHYLAMINE	C10H9N			FAILED_STANDARDIZATION
0163_00016	2,3-DIHYDROXYBENZOATE	C7H6O4			FAILED_STANDARDIZATION
0163_00017	2',4'-DIHYDROXYACETOPHENONE	C8H8O3			FAILED_STANDARDIZATION
0163_00018	2,4-DIHYDROXYPTERIDINE	C6H4N4O2	0.79		FAILED_STANDARDIZATION
0163_00019	2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID	C5H4N2O4			FAILED_STANDARDIZATION
0163_00020	2,5-DIHYDROXYBENZOATE	C7H6O4			FAILED_STANDARDIZATION
0163_00021	2-AMINOETHYL DIHYDROGEN PHOSPHATE	C2H8NO4P			FAILED_STANDARDIZATION
0163_00022	2-AMINOPHENOL	C6H7NO			FAILED_STANDARDIZATION
0163_00028	2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID	C5H10O3S			FAILED_STANDARDIZATION
0163_00029	2-HYDROXYPHENYLACETIC ACID	C8H8O3			FAILED_STANDARDIZATION
0163_00030	2-HYDROXYPYRIDINE	C5H5NO			FAILED_STANDARDIZATION
0163_00031	2-OXOADIPATE	C6H8O5			FAILED_STANDARDIZATION
0163_00032	2-QUINOLINECARBOXYLIC ACID	C10H7NO2			FAILED_STANDARDIZATION
0163_00033	3-(2-HYDROXYPHENYL)PROPANOATE	C9H10O3	1.58		FAILED_STANDARDIZATION
0163_00034	3-(4-HYDROXYPHENYL)LACTATE	C9H10O4			FAILED_STANDARDIZATION
0163_00035	3,3',5'-TRIIODOTHYRONINE	C15H12I3NO4			FAILED_STANDARDIZATION
