id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6
0186_08962		C19H22N2O4	10.616666666666667	C1C[C@@H]2[C@@H]3C[C@H](CN(C3)C(=O)C4=CC5=C(C=C4)OCO5)CN2C(=O)C1	InChI=1S/C19H22N2O4/c22-18-3-1-2-15-14-6-12(9-21(15)18)8-20(10-14)19(23)13-4-5-16-17(7-13)25-11-24-16/h4-5,7,12,14-15H,1-3,6,8-11H2/t12-,14-,15-/m1/s1	XXBKIYJETRUMOI-BPLDGKMQSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Piperidines (CHEMONTID:0000195)	N-acylpiperidines (CHEMONTID:0000335)	N-benzoylpiperidines (CHEMONTID:0002621)	NA (NA)
0186_08963		C25H34N2O3	13.768333333333334	COC1=CC=C(C=C1)C2(CCCCC2)C(=O)N3C[C@H]4C[C@H](C3)[C@H]5CCCC(=O)N5C4	InChI=1S/C25H34N2O3/c1-30-21-10-8-20(9-11-21)25(12-3-2-4-13-25)24(29)26-15-18-14-19(17-26)22-6-5-7-23(28)27(22)16-18/h8-11,18-19,22H,2-7,12-17H2,1H3/t18-,19-,22-/m1/s1	UOSWQPCYJVXOCD-WOIUINJBSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Quinolizidines (CHEMONTID:0000221)	Quinolizidinones (CHEMONTID:0001325)	NA (NA)	NA (NA)
0186_08964		C18H22FN3O2	10.665	C1C[C@@H]2[C@@H]3C[C@H](CN(C3)C(=O)NC4=CC=C(C=C4)F)CN2C(=O)C1	InChI=1S/C18H22FN3O2/c19-14-4-6-15(7-5-14)20-18(24)21-9-12-8-13(11-21)16-2-1-3-17(23)22(16)10-12/h4-7,12-13,16H,1-3,8-11H2,(H,20,24)/t12-,13-,16-/m1/s1	MQOPUYABSRZFKW-XJKCOSOUSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Quinolizidines (CHEMONTID:0000221)	Quinolizidinones (CHEMONTID:0001325)	NA (NA)	NA (NA)
0186_08969		C20H21N3O	14.6	C1CC(C1)C(=O)N2[C@H]3CC[C@@H]2C4=CN=C(N=C4C3)C5=CC=CC=C5	InChI=1S/C20H21N3O/c24-20(14-7-4-8-14)23-15-9-10-18(23)16-12-21-19(22-17(16)11-15)13-5-2-1-3-6-13/h1-3,5-6,12,14-15,18H,4,7-11H2/t15-,18+/m0/s1	RCWYWJJYYAEWFJ-MAUKXSAKSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyridopyrimidines (CHEMONTID:0001859)	NA (NA)	NA (NA)	NA (NA)
0186_08972		C23H23N3O4S	17.043333333333333	COC1=CC(=C(C=C1)OC)S(=O)(=O)N2[C@H]3CC[C@@H]2C4=CN=C(N=C4C3)C5=CC=CC=C5	InChI=1S/C23H23N3O4S/c1-29-17-9-11-21(30-2)22(13-17)31(27,28)26-16-8-10-20(26)18-14-24-23(25-19(18)12-16)15-6-4-3-5-7-15/h3-7,9,11,13-14,16,20H,8,10,12H2,1-2H3/t16-,20+/m0/s1	IGSRBTONTFWQRC-OXJNMPFZSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyridopyrimidines (CHEMONTID:0001859)	NA (NA)	NA (NA)	NA (NA)
0186_08974		C23H22N4O	16.365	CC1=CC(=CC=C1)NC(=O)N2[C@H]3CC[C@@H]2C4=CN=C(N=C4C3)C5=CC=CC=C5	InChI=1S/C23H22N4O/c1-15-6-5-9-17(12-15)25-23(28)27-18-10-11-21(27)19-14-24-22(26-20(19)13-18)16-7-3-2-4-8-16/h2-9,12,14,18,21H,10-11,13H2,1H3,(H,25,28)/t18-,21+/m0/s1	MMSSICLWXNEOHL-GHTZIAJQSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyridopyrimidines (CHEMONTID:0001859)	NA (NA)	NA (NA)	NA (NA)
0186_08976		C23H21N3O	14.961666666666668	C1C[C@@H]2C3=CN=C(N=C3C[C@H]1N2C(=O)CC4=CC=CC=C4)C5=CC=CC=C5	InChI=1S/C23H21N3O/c27-22(13-16-7-3-1-4-8-16)26-18-11-12-21(26)19-15-24-23(25-20(19)14-18)17-9-5-2-6-10-17/h1-10,15,18,21H,11-14H2/t18-,21+/m0/s1	HTHFQMGPOWTWJB-GHTZIAJQSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyridopyrimidines (CHEMONTID:0001859)	NA (NA)	NA (NA)	NA (NA)
0186_08977		C20H16FN3OS	16.318333333333335	C1C[C@@H]2C3=CN=C(N=C3C[C@H]1N2C(=O)C4=CC=CS4)C5=CC=C(C=C5)F	InChI=1S/C20H16FN3OS/c21-13-5-3-12(4-6-13)19-22-11-15-16(23-19)10-14-7-8-17(15)24(14)20(25)18-2-1-9-26-18/h1-6,9,11,14,17H,7-8,10H2/t14-,17+/m0/s1	PTEIBGLYKYDSDP-WMLDXEAASA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyridopyrimidines (CHEMONTID:0001859)	NA (NA)	NA (NA)	NA (NA)
0186_08979		C21H21N3O5	12.193333333333332	CNC(=O)[C@@H]1C[C@@H](CN1C(=O)CN2C3=CC=CC=C3OC2=O)OC4=CC=CC=C4	InChI=1S/C21H21N3O5/c1-22-20(26)17-11-15(28-14-7-3-2-4-8-14)12-23(17)19(25)13-24-16-9-5-6-10-18(16)29-21(24)27/h2-10,15,17H,11-13H2,1H3,(H,22,26)/t15-,17-/m0/s1	OBPITNLZPOBZPH-RDJZCZTQSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Amino acids, peptides, and analogues (CHEMONTID:0000013)	Amino acids and derivatives (CHEMONTID:0000347)	Alpha amino acids and derivatives (CHEMONTID:0000060)
0186_08980		C17H24N2O2S	12.42	C1CCCN([C@H]2CCC[C@H]2C(=O)NCC1)C(=O)C3=CC=CS3	InChI=1S/C17H24N2O2S/c20-16-13-7-5-8-14(13)19(11-4-2-1-3-10-18-16)17(21)15-9-6-12-22-15/h6,9,12-14H,1-5,7-8,10-11H2,(H,18,20)/t13-,14+/m1/s1	ZNKWELQTZDLRHI-KGLIPLIRSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Thiophenes (CHEMONTID:0000097)	Thiophene carboxylic acids and derivatives (CHEMONTID:0002017)	Thiophene carboxamides (CHEMONTID:0002018)	NA (NA)
