id	name	formula	rt	pubchem.smiles.isomeric	status
0027_00002	Creatinine	C4H7N3O	8.008616		FAILED_STANDARDIZATION
0027_00003	4-aminobutyric acid betaine	C7H16NO2+	6.508117		FAILED_STANDARDIZATION
0027_00005	1,3,7-trimethyluric acid	C8H10N4O3	1.866		FAILED_STANDARDIZATION
0027_00006	1,7-dimethyluric acid	C7H8N4O3	3.777		FAILED_STANDARDIZATION
0027_00008	1-methyluric acid	C6H6N4O3	4.664		FAILED_STANDARDIZATION
0027_00009	1-methylxanthine	C6H6N4O2	2.736		FAILED_STANDARDIZATION
0027_00011	2-furoylglycine	C7H7NO4	1.463		FAILED_STANDARDIZATION
0027_00013	3,4-dihydroxyphenylethanol	C8H10O3	2.266		FAILED_STANDARDIZATION
0027_00014	3-hydroxyanthranilic acid	C7H7NO3	1.98		FAILED_STANDARDIZATION
0027_00015	3-hydroxy-kynurenine	C10H12N2O4	6.824		FAILED_STANDARDIZATION
0027_00018	3-methylxanthine	C6H6N4O2	2.597		FAILED_STANDARDIZATION
0027_00020	4-pyridoxic acid	C8H9NO4	4.137		FAILED_STANDARDIZATION
0027_00021	5-aminolevulinic acid	C5H9NO3	8.566		FAILED_STANDARDIZATION
0027_00022	5-hydroxyindoleacetate	C10H9NO3	3.62		FAILED_STANDARDIZATION
0027_00023	5-hydroxytryptophan	C11H12N2O3	7.579		FAILED_STANDARDIZATION
0027_00024	7-methylguanine	C6H7N5O	6.617		FAILED_STANDARDIZATION
0027_00025	7-methylxanthine	C6H6N4O2	2.72		FAILED_STANDARDIZATION
0027_00027	Acetaminophen	C10H9NO3	1.824		FAILED_STANDARDIZATION
0027_00029	Adenine	C5H5N5	7.166		FAILED_STANDARDIZATION
0027_00031	Adenosine mono-phosphate	C10H14N5O7P	8.408		FAILED_STANDARDIZATION
0027_00033	Agmatine	C5H14N4	15.332		FAILED_STANDARDIZATION
0027_00036	Allantoin	C4H6N4O3	6.008		FAILED_STANDARDIZATION
0027_00037	Alloxanthine	C5H4N4O2	4.269		FAILED_STANDARDIZATION
0027_00038	Aminocaproate	C6H13NO2	7.146		FAILED_STANDARDIZATION
0027_00039	Aminovalerate	C5H9NO3	7.1		FAILED_STANDARDIZATION
0027_00041	Aspartate	C4H7NO4	8.174		FAILED_STANDARDIZATION
0027_00045	Betaine	C5H11NO2	7.1		FAILED_STANDARDIZATION
0027_00047	Caffeine	C8H10N4O2	1.058		FAILED_STANDARDIZATION
0027_00048	Carnitine	C7H15NO3	7.722		FAILED_STANDARDIZATION
0027_00050	Chlorogenic acid	C16H18O9	4.419		FAILED_STANDARDIZATION
0027_00051	Choline	C5H14NO	8.015		FAILED_STANDARDIZATION
0027_00052	cis-aconitate	C6H6O6	4.232		FAILED_STANDARDIZATION
0027_00057	Creatine	C4H9N3O2	7.444		FAILED_STANDARDIZATION
0027_00058	Creatinine	C4H7N3O	7.935		FAILED_STANDARDIZATION
0027_00059	Cystathionine	C7H14N2O4S	10.453		FAILED_STANDARDIZATION
0027_00060	Cysteine	C3H7NO2S	7.625		FAILED_STANDARDIZATION
0027_00062	Cytosine	C4H5N3O	8.701		FAILED_STANDARDIZATION
0027_00065	Dimethylglycine	C4H9NO2	7.249		FAILED_STANDARDIZATION
0027_00066	Dopamine	C8H11NO2	7.697		FAILED_STANDARDIZATION
0027_00068	Erythritol	C4H10O4	5.111		FAILED_STANDARDIZATION
0027_00069	Gallic acid	C7H6O5	4.671		FAILED_STANDARDIZATION
0027_00073	Glutamate	C5H9NO4	8.06		FAILED_STANDARDIZATION
0027_00074	Glutamine	C5H10N2O3	8.524		FAILED_STANDARDIZATION
0027_00075	Glutathione (oxidized)	C20H32N6O12S2	10.017		FAILED_STANDARDIZATION
0027_00076	Glutathione (reduced)	C10H17N3O6S	7.739		FAILED_STANDARDIZATION
0027_00077	Glycyl-glycine	C4H8N2O3	9.289		FAILED_STANDARDIZATION
0027_00079	Guanine	C5H5N5O	7.11		FAILED_STANDARDIZATION
0027_00080	Guanosine	C10H13N5O5	6.204		FAILED_STANDARDIZATION
0027_00081	Guanosine mono-phosphate	C10H14N5O8P	8.148		FAILED_STANDARDIZATION
0027_00082	Histidine	C6H9N3O2	11.819		FAILED_STANDARDIZATION
0027_00083	Homoserine	C4H9NO3	8.288		FAILED_STANDARDIZATION
0027_00084	Hydroxydopamine	C8H11NO3	9.189		FAILED_STANDARDIZATION
0027_00085	Hypotaurine	C2H7NO2S	7.869		FAILED_STANDARDIZATION
0027_00086	Hypoxanthine	C5H4N4O	4.612		FAILED_STANDARDIZATION
0027_00089	Isonicotinic acid	C6H5NO2	2.249		FAILED_STANDARDIZATION
0027_00090	Kynurenic acid	C10H7NO3	3.262		FAILED_STANDARDIZATION
0027_00091	Kynurenine	C10H12N2O3	6.112		FAILED_STANDARDIZATION
0027_00093	Lysine	C6H15N2O2	12.504		FAILED_STANDARDIZATION
0027_00094	Mannitol	C6H11O6	6.574		FAILED_STANDARDIZATION
0027_00095	Metanephrine	C10H15NO3	7.06		FAILED_STANDARDIZATION
0027_00096	Metformin	C4H11N5	8.836		FAILED_STANDARDIZATION
0027_00098	Methylhippurate	C10H11NO3	1.053		FAILED_STANDARDIZATION
0027_00099	Methylpicolinate	C7H7NO2	1.062		FAILED_STANDARDIZATION
0027_00101	N-acetyl-5-hydroxytryptamine	C12H14N2O2	2.034		FAILED_STANDARDIZATION
0027_00105	N-acetylputrescine	C6H14N2O	8.564		FAILED_STANDARDIZATION
0027_00107	Nicotinamide	C6H6N2O	3.121		FAILED_STANDARDIZATION
0027_00108	Nicotinic acid	C6H5NO2	1.968		FAILED_STANDARDIZATION
0027_00109	Nitrotyrosine	C9H10N2O5	6.099		FAILED_STANDARDIZATION
