id	name	formula	rt	smiles.std	status
0330_00037	Acetyl-DL-carnitine hydrochloride	C9H17NO4	0.609		'PUGREST.BadRequest: error: '
0330_00064	Decanoyl-L-carnitine	C17H33NO4	4.023		'PUGREST.BadRequest: error: '
0330_00085	Propionyl-L-carnitine	C10H19NO4	1.05		'PUGREST.BadRequest: error: '
0330_00091	3-Methylglutarylcarnitine	C13H23NO6	2.361		'PUGREST.BadRequest: error: '
0330_00095	Stearoyl-L-carnitine	C25H49NO4	5.402		'PUGREST.BadRequest: error: '
0330_00101	Isopalmitic acid	C16H32O2	5.564		'PUGREST.BadRequest: error: '
0330_00102	14-Methylhexadecanoic acid	C17H34O2	5.657		'PUGREST.BadRequest: error: '
0330_00104	Isostearic acid	C18H36O2	5.787		'PUGREST.BadRequest: error: '
0330_00113	Phytanic acid	C20H40O2	5.862		'PUGREST.BadRequest: error: '
0330_00124	Tridecanoic acid	C13H26O2	5.162		'PUGREST.BadRequest: error: '
0330_00125	Myristic acid	C14H28O2	5.304		'PUGREST.BadRequest: error: '
0330_00126	15-Methylpalmitic acid	C17H34O2	5.655		'PUGREST.BadRequest: error: '
0330_00127	Sterculic acid	C19H34O2	5.785		'PUGREST.BadRequest: error: '
0330_00151	Pentadecanoic acid	C15H30O2	5.446		'PUGREST.BadRequest: error: '
0330_00152	Heptadecanoic acid	C17H34O2	5.68		'PUGREST.BadRequest: error: '
0330_00159	9-Decenoic acid	C10H18O2	4.239		'PUGREST.BadRequest: error: '
0330_00175	Palmitic acid	C16H32O2	5.568		'PUGREST.BadRequest: error: '
0330_00178	Stearic acid	C18H36O2	5.792		'PUGREST.BadRequest: error: '
0330_00189	Aleuritic acid	C16H32O5	3.423		'PUGREST.BadRequest: error: '
0330_00195	INOSINE MONOPHOSPHATE	C10H13N4O8P	0.591		'PUGREST.BadRequest: error: '
0330_00196	GUANOSINE	C10H13N5O5	0.791		'PUGREST.BadRequest: error: '
0330_00198	DEOXYADENOSINE MONOPHOSPHATE	C10H14N5O6P	0.61		'PUGREST.BadRequest: error: '
0330_00200	NICOTINAMIDE MONONUCLEOTIDE	C11H15N2O8P	0.591		'PUGREST.BadRequest: error: '
