id	name	formula	rt	pubchem.smiles.isomeric	status
0049_00001	Glycine betaine	C5H11NO2	0.58		FAILED_STANDARDIZATION
0049_00002	Citric acid	C6H8O7	1.087		FAILED_STANDARDIZATION
0049_00003	Pyridoxal	C8H9NO3	1.35		FAILED_STANDARDIZATION
0049_00004	2-Amino-1-phenylethanol	C8H11NO	1.419		FAILED_STANDARDIZATION
0049_00005	Gallic acid	C7H6O5	1.469		FAILED_STANDARDIZATION
0049_00006	Salsolinol	C10H13NO2	1.573		FAILED_STANDARDIZATION
0049_00007	Vanillylmandelic acid	C9H10O5	1.65		FAILED_STANDARDIZATION
0049_00008	Pyrogallol 2-O-sulfate	C6H6O6S	1.762		FAILED_STANDARDIZATION
0049_00009	Homogentisic acid	C8H8O4	1.82		FAILED_STANDARDIZATION
0049_00010	4-Aminobenzoic acid	C7H7NO2	2.082		FAILED_STANDARDIZATION
0049_00011	Catechol O-sulfate	C6H6O5S	2.095		FAILED_STANDARDIZATION
0049_00012	3,5-Dihydroxyphenylacetic acid	C8H8O4	2.206		FAILED_STANDARDIZATION
0049_00013	4-O-methylgallic acid 3-O-sulfate	C8H8O8S	2.272		FAILED_STANDARDIZATION
0049_00014	Protocatechuic acid	C7H6O4	2.307		FAILED_STANDARDIZATION
0049_00015	DL-Pantothenic acid	C9H17NO5	2.423		FAILED_STANDARDIZATION
0049_00016	Hydroxytyrosol	C8H10O3	2.436		FAILED_STANDARDIZATION
0049_00017	Theobromine	C7H8N4O2	2.49		FAILED_STANDARDIZATION
0049_00018	Tryptamine	C10H12N2	2.511		FAILED_STANDARDIZATION
0049_00019	3,4-Dihydroxyphenylacetic acid	C8H8O4	2.55		FAILED_STANDARDIZATION
0049_00020	Adipic acid	C6H10O4	2.63		FAILED_STANDARDIZATION
0049_00021	2-Methoxyresorcinol	C7H8O3	2.68		FAILED_STANDARDIZATION
0049_00022	p-Hydroxyphenyllactic acid	C9H10O4	2.73		FAILED_STANDARDIZATION
0049_00023	Gentisic acid	C7H6O4	2.846		FAILED_STANDARDIZATION
0049_00024	4-Hydroxybenzoic acid	C7H6O3	2.913		FAILED_STANDARDIZATION
0049_00025	Paraxanthine	C7H8N4O2	2.93		FAILED_STANDARDIZATION
0049_00026	Mandelic acid	C8H8O3	3.013		FAILED_STANDARDIZATION
0049_00027	Theophylline	C7H8N4O2	3.052		FAILED_STANDARDIZATION
0049_00028	3-Methoxycatechol	C7H8O3	3.2		FAILED_STANDARDIZATION
0049_00029	4-Hydroxyphenylacetic acid	C8H8O3	3.259		FAILED_STANDARDIZATION
0049_00031	Hippuric acid	C9H9NO3	3.295		FAILED_STANDARDIZATION
0049_00032	Dihydrocaffeic acid	C9H10O4	3.332		FAILED_STANDARDIZATION
0049_00033	4-Hydroxybenzaldehyde	C7H6O2	3.418		FAILED_STANDARDIZATION
0049_00034	Folic acid	C19H19N7O6	3.458		FAILED_STANDARDIZATION
0049_00035	2,3-Dihydroxybenzoic acid	C7H6O4	3.499		FAILED_STANDARDIZATION
0049_00036	Cyanidin	C15H10O6	3.524		FAILED_STANDARDIZATION
0049_00039	3-hydroxyphenylacetic acid	C8H8O3	3.55		FAILED_STANDARDIZATION
0049_00040	Vanillic acid	C8H8O4	3.613		FAILED_STANDARDIZATION
0049_00041	Caffeine	C8H10N4O2	3.674		FAILED_STANDARDIZATION
0049_00042	Homovanillic acid	C9H10O4	3.695		FAILED_STANDARDIZATION
0049_00044	3-Hydroxybenzaldehyde	C7H6O2	3.72		FAILED_STANDARDIZATION
