id	name	formula	rt	pubchem.smiles.isomeric	status
0120_00003	1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE	C10H13NO2	8.96		FAILED_STANDARDIZATION
0120_00005	1-METHYLNICOTINAMIDE	C7H8N2O	9.38		FAILED_STANDARDIZATION
0120_00006	1-NAPHTHYLAMINE	C10H9N	4.79		FAILED_STANDARDIZATION
0120_00007	2-HYDROXYPYRIDINE	C5H5NO	1.13		FAILED_STANDARDIZATION
0120_00008	3-METHOXYTYRAMINE	C9H13NO2	6.54		FAILED_STANDARDIZATION
0120_00009	3-METHYLADENINE	C6H7N5	1.93		FAILED_STANDARDIZATION
0120_00010	3-METHYLHISTAMINE	C6H11N3	12.14		FAILED_STANDARDIZATION
0120_00011	4-GUANIDINOBUTANOATE	C5H11N3O2	12.91		FAILED_STANDARDIZATION
0120_00012	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID	C10H7NO3	7.8		FAILED_STANDARDIZATION
0120_00013	5-METHYLCYTOSINE	C5H7N3O	4.35		FAILED_STANDARDIZATION
0120_00015	ADENINE	C5H5N5	2.13		FAILED_STANDARDIZATION
0120_00016	AGMATINE	C5H14N4	27.07		FAILED_STANDARDIZATION
0120_00019	CHOLINE	C5H14NO	7.92		FAILED_STANDARDIZATION
0120_00020	CREATININE	C4H7N3O	3.58		FAILED_STANDARDIZATION
0120_00022	CYTOSINE	C4H5N3O	6.28		FAILED_STANDARDIZATION
0120_00024	DETHIOBIOTIN	C10H18N2O3	3.22		FAILED_STANDARDIZATION
0120_00025	DIMETHYLBENZIMIDAZOLE	C9H10N2	0.71		FAILED_STANDARDIZATION
0120_00026	GUANIDINOACETATE	C3H7N3O2	12.77		FAILED_STANDARDIZATION
0120_00027	GUANINE	C5H5N5O	9.01		FAILED_STANDARDIZATION
0120_00029	HISTAMINE	CH5H9N3	11.66		FAILED_STANDARDIZATION
0120_00030	HYPOXANTHINE	C5H4N4O	3.97		FAILED_STANDARDIZATION
0120_00031	INDOLE-3-ACETALDEHYDE	C10H9NO	1.15		FAILED_STANDARDIZATION
0120_00041	LUMICHROME	C12H10N4O2	0.87		FAILED_STANDARDIZATION
0120_00042	MELATONIN	C13H16N2O2	0.64		FAILED_STANDARDIZATION
0120_00043	METHYLGUANIDINE	C2H7N3	7.82		FAILED_STANDARDIZATION
0120_00045	N6-(DELTA2-ISOPENTENYL)-ADENINE	C10H13N5	0.64		FAILED_STANDARDIZATION
0120_00046	N-ACETYLPUTRESCINE	C6H14N2O	10.35		FAILED_STANDARDIZATION
0120_00047	N-ACETYLSEROTONIN	C12H14N2O2	1.15		FAILED_STANDARDIZATION
0120_00051	NICOTINAMIDE	C6H6N2O	0.89		FAILED_STANDARDIZATION
0120_00052	N-METHYLTRYPTAMINE	C11H14N2	3.08		FAILED_STANDARDIZATION
0120_00054	PHOSPHOCHOLINE	C5H14NO4P	18.94		FAILED_STANDARDIZATION
0120_00055	PTERIN	C6H5N5O	5.73		FAILED_STANDARDIZATION
0120_00056	PURINE	C5H4N4	1.31		FAILED_STANDARDIZATION
0120_00057	PYRIDOXAMINE	C8H12N2O2	10.23		FAILED_STANDARDIZATION
0120_00058	QUINOLINE	C9H7N	1.45		FAILED_STANDARDIZATION
0120_00059	RIBOFLAVIN	C17H20N4O6	6.11		FAILED_STANDARDIZATION
0120_00060	SEROTONIN	C10H12N2O	0.64		FAILED_STANDARDIZATION
0120_00062	THIAMINE	C12H17N4OS	9.6		FAILED_STANDARDIZATION
0120_00063	THIOPURINE S-METHYLETHER	C6H6N4S	0.64		FAILED_STANDARDIZATION
0120_00066	XANTHURENIC ACID	C10H7NO4	9.79		FAILED_STANDARDIZATION
