id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6
0186_12630		C15H19N3O4S	13.388333333333332	CC1=NOC(=N1)[C@@H]2CN(C[C@H]2COC)S(=O)(=O)C3=CC=CC=C3	InChI=1S/C15H19N3O4S/c1-11-16-15(22-17-11)14-9-18(8-12(14)10-21-2)23(19,20)13-6-4-3-5-7-13/h3-7,12,14H,8-10H2,1-2H3/t12-,14+/m0/s1	ZQVCKUFHQIPEAS-GXTWGEPZSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzenesulfonamides (CHEMONTID:0000031)	NA (NA)	NA (NA)
0186_12631		C16H20N4O2	1.518333333333333	C1CC1C2=NOC(=N2)[C@@H]3CN(C[C@H]3CO)CC4=CN=CC=C4	InChI=1S/C16H20N4O2/c21-10-13-8-20(7-11-2-1-5-17-6-11)9-14(13)16-18-15(19-22-16)12-3-4-12/h1-2,5-6,12-14,21H,3-4,7-10H2/t13-,14+/m0/s1	KERTYVMONTZHOY-UONOGXRCSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Amines (CHEMONTID:0002449)	Aralkylamines (CHEMONTID:0003899)	NA (NA)
0186_12632		C17H18N4O3	9.116666666666667	C1[C@H]([C@@H](CN1CC2=CC=CO2)C3=NC(=NO3)C4=CC=NC=C4)CO	InChI=1S/C17H18N4O3/c22-11-13-8-21(9-14-2-1-7-23-14)10-15(13)17-19-16(20-24-17)12-3-5-18-6-4-12/h1-7,13,15,22H,8-11H2/t13-,15+/m0/s1	XRWAXQCGAGBZLH-DZGCQCFKSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Amines (CHEMONTID:0002449)	Aralkylamines (CHEMONTID:0003899)	NA (NA)
0186_12633		C12H14N4O2	1.4433333333333331	C1[C@H]([C@@H](CN1)C2=NC(=NO2)C3=CN=CC=C3)CO	InChI=1S/C12H14N4O2/c17-7-9-5-14-6-10(9)12-15-11(16-18-12)8-2-1-3-13-4-8/h1-4,9-10,14,17H,5-7H2/t9-,10+/m0/s1	OQNGAKWURJIHPF-VHSXEESVSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Amines (CHEMONTID:0002449)	Aralkylamines (CHEMONTID:0003899)	NA (NA)
0186_12634		C18H21N5O2	1.5266666666666666	CN1C=CC=C1CN2C[C@H]([C@@H](C2)C3=NC(=NO3)C4=CN=CC=C4)CO	InChI=1S/C18H21N5O2/c1-22-7-3-5-15(22)10-23-9-14(12-24)16(11-23)18-20-17(21-25-18)13-4-2-6-19-8-13/h2-8,14,16,24H,9-12H2,1H3/t14-,16+/m0/s1	CIAAIOIBVKTKSV-GOEBONIOSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Amines (CHEMONTID:0002449)	Aralkylamines (CHEMONTID:0003899)	NA (NA)
0186_12635		C13H16F2N4O3	11.148333333333332	CNC(=O)C1=NOC(=N1)[C@@H]2CC(CN2C(=O)C3CCC3)(F)F	InChI=1S/C13H16F2N4O3/c1-16-10(20)9-17-11(22-18-9)8-5-13(14,15)6-19(8)12(21)7-3-2-4-7/h7-8H,2-6H2,1H3,(H,16,20)/t8-/m0/s1	WNRVFWVLTVIZSZ-QMMMGPOBSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_12636		C19H24N4O3	9.866666666666667	COCCC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)CC3=CC4=C(C=C3)NC=C4	InChI=1S/C19H24N4O3/c1-25-7-5-18-21-19(26-22-18)16-11-23(10-15(16)12-24)9-13-2-3-17-14(8-13)4-6-20-17/h2-4,6,8,15-16,20,24H,5,7,9-12H2,1H3/t15-,16+/m0/s1	PPEJPOAYJNBWIC-JKSUJKDBSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Indoles and derivatives (CHEMONTID:0000211)	Indoles (CHEMONTID:0002497)	NA (NA)	NA (NA)
0186_12637		C14H15F2N3O3	14	CCC1=NOC(=N1)[C@@H]2CC(CN2C(=O)C3=C(C=CO3)C)(F)F	InChI=1S/C14H15F2N3O3/c1-3-10-17-12(22-18-10)9-6-14(15,16)7-19(9)13(20)11-8(2)4-5-21-11/h4-5,9H,3,6-7H2,1-2H3/t9-/m0/s1	OTDAANRBLUAENB-VIFPVBQESA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_12638		C12H16F2N4O4	10.123333333333331	CNC(=O)C1=NOC(=N1)[C@@H]2CC(CN2C(=O)CCOC)(F)F	InChI=1S/C12H16F2N4O4/c1-15-10(20)9-16-11(22-17-9)7-5-12(13,14)6-18(7)8(19)3-4-21-2/h7H,3-6H2,1-2H3,(H,15,20)/t7-/m0/s1	AYMRKBSEDDQGNU-ZETCQYMHSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_12639		C14H16F2N4O4	11.756666666666666	CC1=NC(=CO1)C(=O)N2CC(C[C@H]2C3=NC(=NO3)CCOC)(F)F	InChI=1S/C14H16F2N4O4/c1-8-17-9(6-23-8)13(21)20-7-14(15,16)5-10(20)12-18-11(19-24-12)3-4-22-2/h6,10H,3-5,7H2,1-2H3/t10-/m0/s1	HBFMXYADNIMCNS-JTQLQIEISA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_12640		C17H17F2N3O2	13.395	C1CC1CC(=O)N2CC(C[C@H]2C3=NN=C(O3)C4=CC=CC=C4)(F)F	InChI=1S/C17H17F2N3O2/c18-17(19)9-13(22(10-17)14(23)8-11-6-7-11)16-21-20-15(24-16)12-4-2-1-3-5-12/h1-5,11,13H,6-10H2/t13-/m0/s1	IERFLEILLPRYMO-ZDUSSCGKSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Pyrrolidines (CHEMONTID:0000218)	N-acylpyrrolidines (CHEMONTID:0003023)	NA (NA)	NA (NA)
0186_12648		C19H21N3O	9.216666666666669	COC[C@@H]1CN(C[C@H]1C2=CC=CC=N2)CC3=CC=C(C=C3)C#N	InChI=1S/C19H21N3O/c1-23-14-17-12-22(11-16-7-5-15(10-20)6-8-16)13-18(17)19-4-2-3-9-21-19/h2-9,17-18H,11-14H2,1H3/t17-,18+/m0/s1	KQARMKDVOLXUAK-ZWKOTPCHSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
0186_12649		C16H15F2N5O2	9.008333333333333	CCC1=NN=C(O1)[C@@H]2CC(CN2C(=O)C3=CC4=C(C=C3)N=CN4)(F)F	InChI=1S/C16H15F2N5O2/c1-2-13-21-22-14(25-13)12-6-16(17,18)7-23(12)15(24)9-3-4-10-11(5-9)20-8-19-10/h3-5,8,12H,2,6-7H2,1H3,(H,19,20)/t12-/m0/s1	UENBOYUIWGUPGV-LBPRGKRZSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Benzimidazoles (CHEMONTID:0000294)	NA (NA)	NA (NA)	NA (NA)
0186_12650		C18H19F3N2O2	8.688333333333333	C1[C@H]([C@@H](CN1CC2=CC=C(C=C2)OC(F)(F)F)C3=CC=NC=C3)CO	InChI=1S/C18H19F3N2O2/c19-18(20,21)25-16-3-1-13(2-4-16)9-23-10-15(12-24)17(11-23)14-5-7-22-8-6-14/h1-8,15,17,24H,9-12H2/t15-,17-/m0/s1	XYKCSRCSYYFWIQ-RDJZCZTQSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
0186_12651		C18H23F2N3O2	1.52	C1CC1NC(=O)[C@@H]2C[C@H](CN2C3CN(C3)CC4=C(C=CC(=C4)F)F)O	InChI=1S/C18H23F2N3O2/c19-12-1-4-16(20)11(5-12)7-22-8-14(9-22)23-10-15(24)6-17(23)18(25)21-13-2-3-13/h1,4-5,13-15,17,24H,2-3,6-10H2,(H,21,25)/t15-,17+/m1/s1	AFOBDLJWJDGYMS-WBVHZDCISA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
