id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6
0186_09439		C18H19N3O	1.5983333333333334	C1[C@H]([C@@H](CN1CC2=CC=C(C=C2)C#N)C3=CC=NC=C3)CO	InChI=1S/C18H19N3O/c19-9-14-1-3-15(4-2-14)10-21-11-17(13-22)18(12-21)16-5-7-20-8-6-16/h1-8,17-18,22H,10-13H2/t17-,18-/m0/s1	ZUJCAJZZUHHJAY-ROUUACIJSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
0186_09440		C21H28N2O3	9.328333333333337	CCOC1=C(C=C(C=C1)CN2C[C@H]([C@@H](C2)C3=CC=NC=C3)COC)OC	InChI=1S/C21H28N2O3/c1-4-26-20-6-5-16(11-21(20)25-3)12-23-13-18(15-24-2)19(14-23)17-7-9-22-10-8-17/h5-11,18-19H,4,12-15H2,1-3H3/t18-,19-/m0/s1	GNFHJGATDMNPIA-OALUTQOASA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
0186_09441		C17H19FN2O3S	10.813333333333333	COC[C@@H]1CN(C[C@H]1C2=CC=NC=C2)S(=O)(=O)C3=CC=CC(=C3)F	InChI=1S/C17H19FN2O3S/c1-23-12-14-10-20(11-17(14)13-5-7-19-8-6-13)24(21,22)16-4-2-3-15(18)9-16/h2-9,14,17H,10-12H2,1H3/t14-,17-/m0/s1	BJAJHLBRJFVMTG-YOEHRIQHSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzenesulfonamides (CHEMONTID:0000031)	NA (NA)	NA (NA)
0186_09442		C18H26N2O2S	13.096666666666666	C1CCCN([C@H]2CCCC[C@H]2C(=O)NCC1)C(=O)C3=CSC=C3	InChI=1S/C18H26N2O2S/c21-17-15-7-3-4-8-16(15)20(11-6-2-1-5-10-19-17)18(22)14-9-12-23-13-14/h9,12-13,15-16H,1-8,10-11H2,(H,19,21)/t15-,16+/m1/s1	FYKOVBIMGQGWFW-CVEARBPZSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Thiophenes (CHEMONTID:0000097)	Thiophene carboxylic acids and derivatives (CHEMONTID:0002017)	Thiophene carboxamides (CHEMONTID:0002018)	NA (NA)
0186_09444		C24H38N4O3	11.425	CC1=C(C(=NO1)C(=O)N2CCCCCCNC(=O)[C@H]3[C@@H]2CCCC3)CN4CCCCC4	InChI=1S/C24H38N4O3/c1-18-20(17-27-14-8-4-9-15-27)22(26-31-18)24(30)28-16-10-3-2-7-13-25-23(29)19-11-5-6-12-21(19)28/h19,21H,2-17H2,1H3,(H,25,29)/t19-,21+/m1/s1	AUMCBYUBRDNYGF-CTNGQTDRSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_09445		C17H21N3O4	13.601666666666668	CC1=C(OC=C1)C(=O)N2C[C@H]([C@@H](C2)C3=NC(=NO3)C4CC4)COC	InChI=1S/C17H21N3O4/c1-10-5-6-23-14(10)17(21)20-7-12(9-22-2)13(8-20)16-18-15(19-24-16)11-3-4-11/h5-6,11-13H,3-4,7-9H2,1-2H3/t12-,13+/m0/s1	GIWROFVPEIBHPF-QWHCGFSZSA-N	Organic compounds (CHEMONTID:0000000)	Organic acids and derivatives (CHEMONTID:0000264)	Carboxylic acids and derivatives (CHEMONTID:0000265)	Carboxylic acid derivatives (CHEMONTID:0001093)	Carboxylic acid amides (CHEMONTID:0000475)	2-heteroaryl carboxamides (CHEMONTID:0004817)
0186_09446		C19H30N4O2	11.931666666666668	CC1=CN(N=C1)CC(=O)N2CCCCCCNC(=O)[C@H]3[C@@H]2CCCC3	InChI=1S/C19H30N4O2/c1-15-12-21-22(13-15)14-18(24)23-11-7-3-2-6-10-20-19(25)16-8-4-5-9-17(16)23/h12-13,16-17H,2-11,14H2,1H3,(H,20,25)/t16-,17+/m1/s1	DCWDFULIUBGNDL-SJORKVTESA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Azoles (CHEMONTID:0000436)	Pyrazoles (CHEMONTID:0000087)	NA (NA)	NA (NA)
0186_09447		C17H23N3O2	10.195	CC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)CCCC3=CC=CC=C3	InChI=1S/C17H23N3O2/c1-13-18-17(22-19-13)16-11-20(10-15(16)12-21)9-5-8-14-6-3-2-4-7-14/h2-4,6-7,15-16,21H,5,8-12H2,1H3/t15-,16+/m0/s1	DLKCJNXSSSYIFU-JKSUJKDBSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylpropylamines (CHEMONTID:0000187)	NA (NA)	NA (NA)
0186_09448		C16H19N3O	1.5083333333333333	C1[C@H]([C@@H](CN1CC2=CN=CC=C2)C3=CC=CC=N3)CO	InChI=1S/C16H19N3O/c20-12-14-10-19(9-13-4-3-6-17-8-13)11-15(14)16-5-1-2-7-18-16/h1-8,14-15,20H,9-12H2/t14-,15+/m0/s1	LIOICDNKSMPQEC-LSDHHAIUSA-N	Organic compounds (CHEMONTID:0000000)	Organic nitrogen compounds (CHEMONTID:0004707)	Organonitrogen compounds (CHEMONTID:0000278)	Amines (CHEMONTID:0002449)	Aralkylamines (CHEMONTID:0003899)	NA (NA)
0186_09449		C15H17ClFN3O2	10.006666666666666	CC1=NOC(=N1)[C@@H]2CN(C[C@H]2CO)CC3=C(C=C(C=C3)Cl)F	InChI=1S/C15H17ClFN3O2/c1-9-18-15(22-19-9)13-7-20(6-11(13)8-21)5-10-2-3-12(16)4-14(10)17/h2-4,11,13,21H,5-8H2,1H3/t11-,13+/m0/s1	SVUGYGRJAUUIHN-WCQYABFASA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Phenylmethylamines (CHEMONTID:0000185)	NA (NA)	NA (NA)
