id	name	formula	rt	smiles.std	status
0166_00002	1-HYDROXY-2-NAPHTHOATE	C11H8O3	0.57		FAILED_STANDARDIZATION
0166_00003	2,4-DIHYDROXYPTERIDINE	C6H4N4O2	0.85		FAILED_STANDARDIZATION
0166_00006	2-OXOADIPATE	C6H8O5	11.74		FAILED_STANDARDIZATION
0166_00007	3-(2-HYDROXYPHENYL)PROPANOATE	C9H10O3	1.21		FAILED_STANDARDIZATION
0166_00009	3-HYDROXY-3-METHYLGLUTARATE	C6H10O5	13.19		FAILED_STANDARDIZATION
0166_00011	4-ACETAMIDOBUTANOATE	C6H11NO3	10.78		FAILED_STANDARDIZATION
0166_00012	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID	C10H7NO3	3.21		FAILED_STANDARDIZATION
0166_00013	4-PYRIDOXATE	C8H9NO4	0.62		FAILED_STANDARDIZATION
0166_00014	5-HYDROXYMETHYLURACIL	C5H6N2O3	1.28		FAILED_STANDARDIZATION
0166_00015	6-CARBOXYHEXANOATE	C7H12O4	12.77		FAILED_STANDARDIZATION
0166_00016	ADENINE	C5H5N5	2.22		FAILED_STANDARDIZATION
0166_00017	ANILINE-2-SULFONIC ACID	C6H7NO3S	0.62		FAILED_STANDARDIZATION
0166_00018	AZELAIC ACID	C9H16O4	11.93		FAILED_STANDARDIZATION
0166_00026	FORMYL-L-METHIONYL PEPTIDE	C6H11NO3S	7.57		FAILED_STANDARDIZATION
0166_00029	HIPPURATE	C9H9NO3	7.62		FAILED_STANDARDIZATION
0166_00030	HYPOTAURINE	C2H7NO2S	12.18		FAILED_STANDARDIZATION
0166_00031	HYPOXANTHINE	C5H4N4O	2.59		FAILED_STANDARDIZATION
0166_00032	INDOXYL SULFATE	C8H7NO4S	0.43		FAILED_STANDARDIZATION
0166_00035	LUMICHROME	C12H10N4O2	0.57		FAILED_STANDARDIZATION
0166_00036	N6-(DELTA2-ISOPENTENYL)-ADENINE	C10H13N5	0.62		FAILED_STANDARDIZATION
0166_00037	N-ACETYL-DL-GLUTAMIC ACID	C7H11NO5	12.86		FAILED_STANDARDIZATION
0166_00039	N-ACETYLGLYCINE	C4H7NO3	10.5		FAILED_STANDARDIZATION
0166_00043	PTERIN	C6H5N5O	3.49		FAILED_STANDARDIZATION
0166_00044	PURINE	C5H4N4	1.7		FAILED_STANDARDIZATION
0166_00046	RIBOFLAVIN	C17H20N4O6	4		FAILED_STANDARDIZATION
0166_00048	URATE	C5H4N4O3	7.95		FAILED_STANDARDIZATION
0166_00050	URIDINE-5-MONOPHOSPHATE	C9H13N2O9P	13.99		FAILED_STANDARDIZATION
0166_00051	XANTHINE	C5H4N4O2	2.19		FAILED_STANDARDIZATION
0166_00053	XANTHURENIC ACID	C10H7NO4	6.17		FAILED_STANDARDIZATION
